Date,Open,High,Low,Close,Adj Close,Volume
2014-01-16,2797.39990234375,2849.39990234375,2776.0,2798.60009765625,2597.650390625,3173
2014-01-17,2790.0,2802.14990234375,2725.0,2733.199951171875,2536.94580078125,4350
2014-01-20,2705.25,2802.0,2705.25,2733.050048828125,2536.806884765625,3212
2014-01-21,2801.0,2865.0,2782.0,2801.25,2600.109619140625,15028
2014-01-22,2823.949951171875,2845.0,2765.0,2803.60009765625,2602.291259765625,3326
2014-01-23,2776.550048828125,2816.89990234375,2770.0,2788.050048828125,2587.857421875,1481
2014-01-24,2765.449951171875,2785.89990234375,2710.0,2747.39990234375,2550.126220703125,1933
2014-01-27,2725.0,2725.0,2625.0,2643.10009765625,2453.3154296875,976
2014-01-28,2670.0,2694.0,2630.64990234375,2678.64990234375,2486.312744140625,1513
2014-01-29,2681.050048828125,2709.0,2664.64990234375,2668.39990234375,2476.79833984375,442
2014-01-30,2620.0,2660.0,2595.0,2613.699951171875,2426.0263671875,1859
2014-01-31,2643.10009765625,2705.0,2613.89990234375,2691.199951171875,2497.9619140625,1983
2014-02-03,2723.949951171875,2723.949951171875,2640.10009765625,2650.300048828125,2459.998779296875,666
2014-02-04,2620.550048828125,2730.0,2602.0,2712.64990234375,2517.871337890625,2632
2014-02-05,2654.0,2719.949951171875,2654.0,2692.199951171875,2498.8896484375,570
2014-02-06,2699.949951171875,2763.949951171875,2679.949951171875,2742.550048828125,2545.62451171875,2600
2014-02-07,2740.0,2799.0,2705.699951171875,2725.5,2529.799072265625,23129
2014-02-10,2725.0,2799.0,2700.10009765625,2700.699951171875,2506.77978515625,1645
2014-02-11,2733.0,2750.0,2700.10009765625,2702.10009765625,2508.07958984375,915
2014-02-12,2701.0,2740.949951171875,2611.0,2648.5,2458.327880859375,1423
2014-02-13,2649.0,2678.949951171875,2640.0,2643.550048828125,2453.733154296875,888
2014-02-14,2640.050048828125,2689.85009765625,2627.0,2669.89990234375,2478.19091796875,489
2014-02-17,2670.0,2683.25,2636.10009765625,2668.10009765625,2476.52001953125,1122
